 ID ; X1 ; X2 ; X3 ; X4 ; X5 ; X6 ; X7 ; X8 ; X9 ; X11 ; X12 
 1 ; 2 ;1; 8,5 ; 2,5 ; 5,9 ; 4,8 ; 6,0 ; 6,8 ; 3,7 ; 8,0 ; 65,1 
 2 ; 3 ;0; 8,2 ; 5,1 ; 7,2 ; 3,4 ; 3,1 ; 5,3 ; 4,9 ; 6,5 ; 67,1 
 3 ; 3 ;1; 9,2 ; 5,6 ; 5,6 ; 5,4 ; 5,8 ; 4,5 ; 4,5 ; 8,4 ; 72,1 
 4 ; 1 ;1; 6,4 ; 7,0 ; 3,7 ; 4,7 ; 4,5 ; 8,8 ; 3,0 ; 6,0 ; 40,1 
 5 ; 2 ;1; 9,0 ; 5,2 ; 4,6 ; 2,2 ; 4,5 ; 6,8 ; 3,5 ; 6,6 ; 57,1 
 6 ; 1 ;0; 6,5 ; 3,1 ; 4,1 ; 4,0 ; 3,7 ; 8,5 ; 3,3 ; 6,3 ; 50,1 
 7 ; 1 ;1; 6,9 ; 5,0 ; 2,6 ; 2,1 ; 5,4 ; 8,9 ; 2,0 ; 7,8 ; 41,1 
 8 ; 2 ;1; 6,2 ; 3,9 ; 4,8 ; 4,6 ; 5,1 ; 6,9 ; 3,7 ; 5,8 ; 56,1 
 9 ; 2 ;1; 5,8 ; 5,1 ; 6,7 ; 3,7 ; 5,8 ; 9,3 ; 4,6 ; 7,5 ; 56,1 
 10 ; 1 ;1; 6,4 ; 5,1 ; 6,1 ; 4,7 ; 5,7 ; 8,4 ; 4,4 ; 5,9 ; 59,1 
 11 ; 3 ;1; 8,7 ; 4,6 ; 4,8 ; 2,7 ; 4,6 ; 6,8 ; 4,0 ; 7,0 ; 68,1 
 12 ; 1 ;1; 6,1 ; 6,3 ; 3,9 ; 4,4 ; 6,4 ; 8,2 ; 3,2 ; 6,3 ; 53,1 
 13 ; 1 ;0; 9,5 ; 4,6 ; 6,9 ; 5,0 ; 6,6 ; 7,6 ; 4,4 ; 8,4 ; 58,1 
 14 ; 3 ;0; 9,2 ; 5,7 ; 5,5 ; 2,4 ; 4,8 ; 7,1 ; 4,2 ; 6,9 ; 72,1 
 15 ; 2 ;1; 6,3 ; 4,7 ; 6,9 ; 4,5 ; 5,9 ; 8,8 ; 5,2 ; 7,0 ; 62,1 
 16 ; 3 ;0; 8,7 ; 4,0 ; 6,8 ; 3,2 ; 3,8 ; 4,9 ; 4,5 ; 6,4 ; 71,1 
 17 ; 2 ;0; 5,7 ; 6,7 ; 6,0 ; 3,3 ; 5,1 ; 6,2 ; 4,5 ; 7,5 ; 50,1 
 18 ; 2 ;1; 5,9 ; 5,5 ; 7,2 ; 3,5 ; 5,5 ; 8,4 ; 4,8 ; 6,9 ; 58,1 
 19 ; 2 ;1; 5,6 ; 5,1 ; 6,4 ; 3,7 ; 5,6 ; 9,1 ; 4,5 ; 7,5 ; 55,1 
 20 ; 3 ;1; 9,1 ; 3,6 ; 6,4 ; 5,3 ; 7,1 ; 8,4 ; 4,4 ; 8,5 ; 67,1 
 21 ; 1 ;0; 5,2 ; 7,1 ; 5,2 ; 3,9 ; 5,0 ; 8,4 ; 3,3 ; 5,5 ; 50,1 
 22 ; 3 ;1; 9,6 ; 6,8 ; 5,9 ; 5,4 ; 7,8 ; 4,5 ; 4,3 ; 9,6 ; 70,1 
 23 ; 2 ;0; 8,6 ; 7,4 ; 5,1 ; 3,5 ; 4,7 ; 3,7 ; 4,0 ; 7,1 ; 60,1 
 24 ; 3 ;1; 9,3 ; 2,6 ; 7,2 ; 2,2 ; 4,5 ; 6,2 ; 4,5 ; 8,1 ; 65,1 
 25 ; 1 ;0; 6,0 ; 5,3 ; 4,7 ; 3,5 ; 5,3 ; 8,0 ; 4,0 ; 4,9 ; 55,1 
 26 ; 2 ;1; 6,4 ; 6,6 ; 6,1 ; 4,0 ; 5,3 ; 7,1 ; 3,9 ; 6,8 ; 58,1 
 27 ; 3 ;0; 8,5 ; 7,2 ; 5,8 ; 4,1 ; 3,7 ; 4,8 ; 4,4 ; 7,1 ; 70,1 
 28 ; 1 ;0; 7,0 ; 5,4 ; 5,5 ; 2,6 ; 4,2 ; 9,0 ; 3,7 ; 5,5 ; 55,1 
 29 ; 3 ;0; 8,5 ; 5,7 ; 6,0 ; 2,3 ; 3,7 ; 4,8 ; 4,4 ; 6,9 ; 70,1 
 30 ; 1 ;1; 7,6 ; 3,0 ; 4,0 ; 5,1 ; 4,6 ; 7,7 ; 3,5 ; 5,5 ; 52,1 
 31 ; 1 ;0; 6,9 ; 8,5 ; 4,3 ; 4,5 ; 4,7 ; 5,2 ; 3,3 ; 6,8 ; 44,1 
 32 ; 1 ;1; 8,1 ; 7,2 ; 4,5 ; 2,3 ; 3,8 ; 6,6 ; 3,0 ; 5,8 ; 51,1 
 33 ; 1 ;1; 6,7 ; 6,5 ; 5,3 ; 5,3 ; 4,9 ; 9,2 ; 3,4 ; 6,5 ; 44,1 
 34 ; 2 ;1; 8,0 ; 6,1 ; 5,7 ; 5,5 ; 4,7 ; 8,7 ; 4,2 ; 7,5 ; 62,1 
 35 ; 1 ;1; 6,7 ; 5,2 ; 3,9 ; 3,0 ; 6,8 ; 8,4 ; 3,5 ; 6,6 ; 54,1 
 36 ; 1 ;0; 8,7 ; 6,1 ; 4,3 ; 3,5 ; 2,9 ; 5,6 ; 2,5 ; 4,6 ; 51,1 
 37 ; 2 ;0; 9,0 ; 5,9 ; 4,6 ; 3,9 ; 4,5 ; 6,8 ; 3,5 ; 8,0 ; 57,1 
 38 ; 3 ;1; 9,6 ; 6,2 ; 7,3 ; 2,9 ; 5,5 ; 7,7 ; 4,9 ; 9,9 ; 77,1 
 39 ; 2 ;1; 8,2 ; 3,9 ; 6,2 ; 5,8 ; 5,0 ; 9,0 ; 4,5 ; 6,9 ; 65,1 
 40 ; 1 ;0; 6,1 ; 3,0 ; 4,8 ; 5,1 ; 6,4 ; 8,2 ; 3,2 ; 5,5 ; 53,1 
 41 ; 2 ;1; 8,3 ; 3,3 ; 5,5 ; 3,1 ; 5,2 ; 9,1 ; 3,9 ; 7,5 ; 61,1 
 42 ; 2 ;0; 9,4 ; 4,7 ; 5,4 ; 3,8 ; 4,9 ; 8,5 ; 4,1 ; 8,0 ; 61,1 
 43 ; 3 ;1; 9,3 ; 4,6 ; 6,8 ; 5,8 ; 6,3 ; 7,4 ; 4,3 ; 7,8 ; 72,1 
 44 ; 2 ;1; 5,1 ; 6,6 ; 6,9 ; 4,4 ; 7,8 ; 5,9 ; 4,5 ; 7,9 ; 55,1 
 45 ; 3 ;0; 8,0 ; 4,7 ; 7,1 ; 3,6 ; 3,0 ; 5,2 ; 4,7 ; 5,6 ; 65,1 
 46 ; 2 ;1; 5,9 ; 5,7 ; 5,9 ; 5,8 ; 5,5 ; 8,4 ; 4,8 ; 8,6 ; 58,1 
 47 ; 3 ;0; 10,0 ; 7,1 ; 6,3 ; 2,9 ; 4,5 ; 3,8 ; 3,5 ; 8,8 ; 67,1 
 48 ; 2 ;1; 5,7 ; 6,8 ; 7,5 ; 5,7 ; 6,0 ; 8,2 ; 5,2 ; 7,6 ; 60,1 
 49 ; 3 ;0; 9,9 ; 3,7 ; 6,1 ; 4,2 ; 6,7 ; 6,8 ; 3,9 ; 8,1 ; 67,1 
 50 ; 3 ;1; 7,9 ; 4,3 ; 5,8 ; 4,4 ; 5,8 ; 4,7 ; 4,3 ; 7,8 ; 61,1 
 51 ; 1 ;1; 6,7 ; 5,9 ; 4,2 ; 3,4 ; 4,8 ; 7,2 ; 2,8 ; 7,5 ; 48,1 
 52 ; 3 ;0; 8,2 ; 3,7 ; 7,4 ; 2,7 ; 3,1 ; 5,3 ; 4,9 ; 7,1 ; 67,1 
 53 ; 3 ;1; 9,4 ; 4,8 ; 6,1 ; 3,2 ; 4,6 ; 6,3 ; 4,6 ; 9,0 ; 66,1 
 54 ; 1 ;0; 6,9 ; 5,7 ; 4,4 ; 3,3 ; 4,7 ; 5,2 ; 3,3 ; 7,0 ; 44,1 
 55 ; 2 ;1; 8,0 ; 3,8 ; 5,8 ; 3,2 ; 4,7 ; 8,7 ; 4,2 ; 8,1 ; 62,1 
 56 ; 3 ;0; 9,3 ; 7,3 ; 5,7 ; 3,7 ; 5,5 ; 7,4 ; 3,4 ; 7,6 ; 59,1 
 57 ; 2 ;1; 7,4 ; 4,8 ; 7,7 ; 4,5 ; 6,9 ; 9,6 ; 5,5 ; 7,9 ; 74,1 
 58 ; 3 ;0; 7,6 ; 5,2 ; 5,8 ; 5,6 ; 5,4 ; 4,4 ; 4,0 ; 7,5 ; 58,1 
 59 ; 3 ;0; 10,0 ; 5,3 ; 3,7 ; 4,2 ; 4,5 ; 3,8 ; 3,5 ; 6,5 ; 67,1 
 60 ; 3 ;1; 9,9 ; 7,2 ; 6,9 ; 2,6 ; 3,5 ; 5,4 ; 4,0 ; 8,5 ; 61,1 
 61 ; 3 ;0; 8,7 ; 8,4 ; 6,1 ; 2,8 ; 3,8 ; 4,9 ; 4,5 ; 6,9 ; 71,1 
 62 ; 2 ;1; 8,4 ; 6,7 ; 5,0 ; 4,5 ; 5,9 ; 6,7 ; 3,6 ; 7,6 ; 63,1 
 63 ; 1 ;0; 8,8 ; 3,8 ; 5,1 ; 4,3 ; 4,8 ; 5,8 ; 2,9 ; 5,5 ; 44,1 
 64 ; 1 ;1; 7,7 ; 6,3 ; 4,5 ; 2,4 ; 3,4 ; 6,2 ; 2,6 ; 6,0 ; 47,1 
 65 ; 1 ;1; 6,6 ; 5,8 ; 4,1 ; 4,9 ; 4,8 ; 7,2 ; 2,8 ; 6,9 ; 48,1 
 66 ; 2 ;1; 5,7 ; 3,5 ; 6,7 ; 5,4 ; 6,0 ; 8,2 ; 5,2 ; 6,9 ; 60,1 
 67 ; 2 ;0; 5,7 ; 7,9 ; 6,4 ; 2,7 ; 5,1 ; 6,2 ; 4,5 ; 5,6 ; 50,1 
 68 ; 2 ;0; 5,5 ; 4,7 ; 5,4 ; 4,3 ; 4,9 ; 6,0 ; 4,3 ; 6,3 ; 48,1 
 69 ; 1 ;1; 7,5 ; 3,8 ; 3,5 ; 2,9 ; 4,5 ; 7,6 ; 3,4 ; 5,8 ; 51,1 
 70 ; 2 ;1; 6,4 ; 2,7 ; 5,3 ; 3,9 ; 5,3 ; 7,1 ; 3,9 ; 6,6 ; 58,1 
 71 ; 3 ;0; 9,1 ; 6,1 ; 5,9 ; 6,3 ; 7,1 ; 8,4 ; 4,4 ; 7,5 ; 67,1 
 72 ; 1 ;0; 6,7 ; 3,0 ; 3,7 ; 4,8 ; 4,5 ; 5,0 ; 3,1 ; 6,0 ; 43,1 
 73 ; 2 ;1; 6,5 ; 2,7 ; 6,6 ; 6,5 ; 6,0 ; 8,7 ; 4,6 ; 6,6 ; 66,1 
 74 ; 3 ;1; 9,9 ; 7,5 ; 4,7 ; 5,6 ; 6,7 ; 6,8 ; 3,9 ; 8,8 ; 66,1 
 75 ; 2 ;1; 8,5 ; 5,3 ; 5,5 ; 5,0 ; 6,0 ; 6,8 ; 3,7 ; 7,0 ; 65,1 
 76 ; 3 ;0; 9,9 ; 6,8 ; 5,0 ; 5,4 ; 4,8 ; 4,9 ; 3,8 ; 6,6 ; 63,1 
 77 ; 1 ;0; 7,6 ; 7,6 ; 4,6 ; 4,7 ; 5,0 ; 7,4 ; 3,9 ; 6,9 ; 49,1 
 78 ; 2 ;0; 9,4 ; 7,0 ; 6,2 ; 4,7 ; 4,9 ; 8,5 ; 4,1 ; 7,3 ; 61,1 
 79 ; 3 ;0; 9,3 ; 6,3 ; 7,6 ; 5,5 ; 5,9 ; 4,6 ; 4,6 ; 7,3 ; 72,1 
 80 ; 1 ;1; 7,1 ; 4,9 ; 4,1 ; 4,0 ; 5,9 ; 7,8 ; 2,7 ; 5,8 ; 44,1 
 81 ; 3 ;1; 9,9 ; 7,4 ; 4,8 ; 4,0 ; 4,8 ; 4,9 ; 3,8 ; 7,9 ; 63,1 
 82 ; 3 ;0; 8,7 ; 6,4 ; 4,9 ; 2,4 ; 4,6 ; 6,8 ; 4,0 ; 7,3 ; 68,1 
 83 ; 2 ;0; 8,6 ; 5,8 ; 3,9 ; 2,9 ; 4,0 ; 6,3 ; 3,0 ; 6,1 ; 53,1 
 84 ; 1 ;0; 6,4 ; 6,7 ; 3,6 ; 2,2 ; 5,0 ; 8,4 ; 1,6 ; 5,1 ; 37,1 
 85 ; 2 ;0; 7,7 ; 6,7 ; 6,6 ; 1,9 ; 4,3 ; 5,9 ; 4,3 ; 7,5 ; 52,1 
 86 ; 1 ;1; 7,5 ; 4,1 ; 4,5 ; 3,5 ; 4,5 ; 7,6 ; 3,4 ; 6,0 ; 51,1 
 87 ; 1 ;0; 5,0 ; 1,3 ; 3,0 ; 3,5 ; 4,9 ; 8,2 ; 3,1 ; 5,5 ; 48,1 
 88 ; 2 ;0; 7,7 ; 8,0 ; 6,7 ; 3,5 ; 4,3 ; 5,9 ; 4,3 ; 7,6 ; 52,1 
 89 ; 2 ;0; 9,1 ; 5,5 ; 5,4 ; 4,2 ; 4,6 ; 8,3 ; 3,9 ; 6,5 ; 59,1 
 90 ; 2 ;0; 5,5 ; 7,7 ; 7,0 ; 5,6 ; 8,2 ; 6,3 ; 4,9 ; 7,6 ; 59,1 
 91 ; 3 ;0; 9,1 ; 7,0 ; 4,1 ; 4,4 ; 5,4 ; 7,3 ; 3,3 ; 7,9 ; 58,1 
 92 ; 1 ;0; 7,1 ; 4,1 ; 2,6 ; 2,1 ; 4,5 ; 9,9 ; 2,4 ; 5,0 ; 51,1 
 93 ; 3 ;1; 9,2 ; 4,6 ; 5,3 ; 4,2 ; 4,8 ; 7,1 ; 4,2 ; 7,5 ; 72,1 
 94 ; 3 ;1; 9,3 ; 5,4 ; 7,8 ; 4,6 ; 5,9 ; 4,6 ; 4,6 ; 7,6 ; 72,1 
 95 ; 3 ;1; 9,3 ; 4,0 ; 4,6 ; 4,7 ; 5,5 ; 7,4 ; 3,4 ; 7,3 ; 59,1 
 96 ; 1 ;0; 8,6 ; 5,6 ; 5,3 ; 2,3 ; 5,7 ; 6,7 ; 3,6 ; 8,1 ; 50,1 
 97 ; 1 ;0; 7,4 ; 2,6 ; 5,0 ; 4,1 ; 4,8 ; 7,2 ; 3,7 ; 5,5 ; 48,1 
 98 ; 1 ;0; 8,7 ; 3,3 ; 3,2 ; 3,1 ; 2,9 ; 5,6 ; 2,5 ; 7,0 ; 51,1 
 99 ; 2 ;0; 7,8 ; 5,8 ; 5,3 ; 5,2 ; 7,1 ; 7,9 ; 3,9 ; 7,1 ; 61,1 
 100 ; 2 ;1; 7,9 ; 4,4 ; 5,1 ; 5,9 ; 4,8 ; 9,7 ; 3,5 ; 7,3 ; 57,1 
